species;scenario;rbf;svm;consensus;wmean_auc;wmean_tss
clssm_mcrp;gg_ssp245_10_2090;0.325;0.6;0.4625;0.33647645833333334;0.23452604166666668
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;gg_ssp245_10_2090;0.45;0.3;0.375;0.32232625;0.22241375
clssm_mcrp;gg_ssp245_10_2090;0.175;0.075;0.125;0.11407895833333333;0.07846229166666667
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;gg_ssp245_10_2090;0.15;0;0.075;0.08039375;0.05486125
clssm_mcrp;gg_ssp245_10_2090;0.075;0;0.0375;0.040196875;0.027430625
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0.4;0.075;0.23750000000000002;0.23466958333333335;0.16075416666666667
clssm_mcrp;gg_ssp245_10_2090;0.825;0.15;0.4875;0.48273812499999996;0.330651875
clssm_mcrp;gg_ssp245_10_2090;0.975;1;0.9875;0.7930427083333335;0.5493647916666666
clssm_mcrp;gg_ssp245_10_2090;0.95;0.775;0.8625;0.7187849999999999;0.49684875
clssm_mcrp;gg_ssp245_10_2090;1;0.9;0.95;0.7793933333333333;0.5392316666666667
clssm_mcrp;gg_ssp245_10_2090;0.95;0.35;0.6499999999999999;0.6038295833333333;0.41492291666666664
clssm_mcrp;gg_ssp245_10_2090;1;0.65;0.825;0.7117725;0.4910400000000001
clssm_mcrp;gg_ssp245_10_2090;1;1;1;0.8064416666666667;0.5585083333333333
clssm_mcrp;gg_ssp245_10_2090;0.375;0.675;0.525;0.38356062500000004;0.26727062500000004
clssm_mcrp;gg_ssp245_10_2090;0.025;0.05;0.037500000000000006;0.026923125000000003;0.018781875000000003
clssm_mcrp;gg_ssp245_10_2090;0.075;0.05;0.0625;0.053721041666666663;0.03706895833333334
clssm_mcrp;gg_ssp245_10_2090;0.05;0;0.025;0.026797916666666668;0.018287083333333332
clssm_mcrp;gg_ssp245_10_2090;0.675;0.425;0.55;0.47672729166666666;0.32880145833333335
clssm_mcrp;gg_ssp245_10_2090;0.55;0.275;0.41250000000000003;0.36916;0.25416875000000005
clssm_mcrp;gg_ssp245_10_2090;0.125;0.025;0.075;0.073756875;0.050536875
clssm_mcrp;gg_ssp245_10_2090;0.275;0.325;0.30000000000000004;0.235295625;0.16322812500000003
clssm_mcrp;gg_ssp245_10_2090;0.4;0.3;0.35;0.29552833333333334;0.20412666666666668
clssm_mcrp;gg_ssp245_10_2090;0.8;0.45;0.625;0.5504841666666667;0.3793383333333334
clssm_mcrp;gg_ssp245_10_2090;0.1;0;0.05;0.053595833333333336;0.036574166666666665
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0.325;0.125;0.225;0.207996875;0.14296187500000002
clssm_mcrp;gg_ssp245_10_2090;0.625;0.4;0.5125;0.4431672916666667;0.30569520833333336
clssm_mcrp;gg_ssp245_10_2090;0.175;0.225;0.2;0.1546514583333333;0.10737729166666667
clssm_mcrp;gg_ssp245_10_2090;0.35;0.775;0.5625;0.39721;0.27740375
clssm_mcrp;gg_ssp245_10_2090;0.25;0.375;0.3125;0.23542083333333333;0.1637229166666667
clssm_mcrp;gg_ssp245_10_2090;0.95;1;0.975;0.77964375;0.54022125
clssm_mcrp;gg_ssp245_10_2090;1;0.975;0.9875;0.7996795833333333;0.5536891666666667
clssm_mcrp;gg_ssp245_10_2090;1;0.8;0.9;0.752345;0.519955
clssm_mcrp;gg_ssp245_10_2090;1;0.675;0.8375;0.7185345833333333;0.4958591666666667
