especie;cenario;mlp;glmnet;brt;consenso
species;presente;0.1;0;0;0.03333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.075;0;0;0.024999999999999998
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.15;0;0;0.049999999999999996
species;presente;0.275;0;0;0.09166666666666667
species;presente;0.15;0;0;0.049999999999999996
species;presente;0.275;0;0;0.09166666666666667
species;presente;0.5;0;0;0.16666666666666666
species;presente;0.55;0.075;0;0.20833333333333334
species;presente;0.475;0.075;0;0.18333333333333332
species;presente;0.425;0.1;0;0.17500000000000002
species;presente;0.35;0.225;0;0.19166666666666665
species;presente;0.375;0.35;0;0.24166666666666667
species;presente;0.4;0.375;0;0.25833333333333336
species;presente;0.425;0.55;0;0.325
species;presente;0.05;0.075;0;0.041666666666666664
species;presente;0.325;0.4;0;0.2416666666666667
species;presente;0.375;0.725;0;0.3666666666666667
species;presente;0.325;0.925;0;0.4166666666666667
species;presente;0.325;0.95;0;0.425
species;presente;0.375;0.95;0;0.44166666666666665
species;presente;0.15;0.8;0;0.3166666666666667
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.025;0.05;0;0.025000000000000005
species;presente;0.025;0.15;0;0.05833333333333333
species;presente;0.025;0.075;0;0.03333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0.025;0;0.016666666666666666
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0;0;0;0
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.025;0;0;0.008333333333333333
species;presente;0;0;0;0
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0.025;0;0.016666666666666666
species;presente;0.375;0.025;0;0.13333333333333333
species;presente;0.55;0.075;0;0.20833333333333334
species;presente;0.825;0.3;0.025;0.3833333333333333
species;presente;0.8;0.25;0.05;0.3666666666666667
species;presente;0.725;0.1;0.05;0.2916666666666667
species;presente;0.675;0.05;0.025;0.25000000000000006
species;presente;0.65;0.05;0;0.23333333333333336
species;presente;0.5;0;0;0.16666666666666666
species;presente;0.175;0;0;0.05833333333333333
species;presente;0.2;0;0;0.06666666666666667
species;presente;0.125;0;0;0.041666666666666664
species;presente;0.025;0;0;0.008333333333333333
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0;0;0;0
species;presente;0.025;0;0;0.008333333333333333
