species;scenario;rbf;svm;consensus;wmean_auc;wmean_tss
clssm_mcrp;uk_ssp245_10_2090;0.825;0.05;0.4375;0.4556897916666666;0.3113752083333333
clssm_mcrp;uk_ssp245_10_2090;0.4;0.05;0.225;0.2279075;0.15593500000000002
clssm_mcrp;uk_ssp245_10_2090;0.2;0;0.1;0.10719166666666667;0.07314833333333333
clssm_mcrp;uk_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;uk_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;uk_ssp245_10_2090;0.3;0.4;0.35;0.26898083333333334;0.18682916666666669
clssm_mcrp;uk_ssp245_10_2090;0.5;0.15;0.325;0.3085516666666666;0.21178583333333334
clssm_mcrp;uk_ssp245_10_2090;0.225;0.075;0.15;0.14087687499999998;0.09674937500000001
clssm_mcrp;uk_ssp245_10_2090;0.3;0.075;0.1875;0.18107375;0.12418
clssm_mcrp;uk_ssp245_10_2090;0.15;0;0.075;0.08039375;0.05486125
clssm_mcrp;uk_ssp245_10_2090;0.575;0.075;0.32499999999999996;0.32846229166666663;0.2247589583333333
clssm_mcrp;uk_ssp245_10_2090;0.975;0.075;0.525;0.542845625;0.37105562500000006
clssm_mcrp;uk_ssp245_10_2090;0.975;0.075;0.525;0.542845625;0.37105562500000006
clssm_mcrp;uk_ssp245_10_2090;1;0.05;0.525;0.5494825;0.37538
clssm_mcrp;uk_ssp245_10_2090;0.475;0;0.2375;0.2545802083333333;0.17372729166666667
clssm_mcrp;uk_ssp245_10_2090;0.25;0.075;0.1625;0.1542758333333333;0.10589291666666667
clssm_mcrp;uk_ssp245_10_2090;0.2;0.075;0.1375;0.12747791666666666;0.08760583333333334
clssm_mcrp;uk_ssp245_10_2090;0.175;0.075;0.125;0.11407895833333333;0.07846229166666667
clssm_mcrp;uk_ssp245_10_2090;0.5;0.075;0.2875;0.28826541666666666;0.19732833333333333
clssm_mcrp;uk_ssp245_10_2090;0.1;0.05;0.07500000000000001;0.06712;0.04621250000000001
clssm_mcrp;uk_ssp245_10_2090;0.875;0.15;0.5125;0.5095360416666667;0.3489389583333333
clssm_mcrp;uk_ssp245_10_2090;0.45;0.05;0.25;0.2547054166666667;0.17422208333333336
clssm_mcrp;uk_ssp245_10_2090;0.1;0.025;0.0625;0.06035791666666667;0.04139333333333334
clssm_mcrp;uk_ssp245_10_2090;0.625;0.05;0.3375;0.34849812500000005;0.23822687499999998
clssm_mcrp;uk_ssp245_10_2090;0.025;0.025;0.025;0.020161041666666667;0.013962708333333332
clssm_mcrp;uk_ssp245_10_2090;0.4;0.05;0.225;0.2279075;0.15593500000000002
clssm_mcrp;uk_ssp245_10_2090;0.075;0.025;0.05;0.046958958333333335;0.032249791666666666
clssm_mcrp;uk_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;uk_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;uk_ssp245_10_2090;0.35;0.55;0.45;0.33635124999999994;0.23403125
clssm_mcrp;uk_ssp245_10_2090;0.65;0.25;0.45;0.41599375;0.28592375000000003
clssm_mcrp;uk_ssp245_10_2090;0.275;0.05;0.1625;0.16091270833333335;0.11021729166666668
clssm_mcrp;uk_ssp245_10_2090;0.125;0.025;0.075;0.073756875;0.050536875
clssm_mcrp;uk_ssp245_10_2090;0.675;0.1;0.3875;0.38882020833333336;0.2661522916666667
