"","freq_mean","pa_mean","pa_sums"
"343",0.0375,0,0
"344",0.115625,0,0
"345",0.221875,0,0
"346",0.79375,0.5,0.5
"347",0.79375,0.5,0.5
"348",0.7875,0.5,0.5
"349",0.70625,0.5,0.5
"350",0.790625,0.5,0.5
"351",0.7375,0.5,0.5
"352",0.78125,0.5,0.5
"353",0.640625,0.5,0.5
"354",0.746875,0.5,0.5
"355",0.790625,0.5,0.5
"356",0.434375,0,0
"357",0.765625,0.5,0.5
"358",0.753125,0.5,0.5
"359",0.775,0.5,0.5
"360",0.440625,0,0
"361",0.76875,0.5,0.5
"362",0.765625,0.5,0.5
"363",0.7375,0.5,0.5
"364",0.63125,0.5,0.5
"365",0.784375,0.5,0.5
"366",0.175,0,0
"367",0.803125,0.5,0.5
"368",0.390625,0,0
"369",0.43125,0,0
"370",0.128125,0,0
"371",0.009375,0,0
"372",0.2875,0,0
"373",0.7125,0.25,0.25
"374",0.49375,0,0
"375",0.634375,0.25,0.25
"376",0.790625,0.5,0.5
"377",0.790625,0.5,0.5
"378",0.771875,0.5,0.5
"379",0.790625,0.5,0.5
"380",0.7875,0.5,0.5
"381",0.796875,0.5,0.5
"382",0.796875,0.5,0.5
"383",0.78125,0.5,0.5
"384",0.446875,0,0
"385",0.734375,0.5,0.5
"386",0.778125,0.5,0.5
"387",0.771875,0.5,0.5
"388",0.765625,0.5,0.5
"389",0.765625,0.5,0.5
"390",0.74375,0.5,0.5
"391",0.75,0.5,0.5
"392",0.715625,0.5,0.5
"393",0.784375,0.5,0.5
"394",0.68125,0.5,0.5
"395",0.81875,0.75,0.75
"396",0.6625,0.25,0.25
"397",0.303125,0,0
"398",0.08125,0,0
"399",0.009375,0,0
"400",0.128125,0,0
"401",0.53125,0.25,0.25
"402",0.625,0.25,0.25
"403",0.80625,0.75,0.75
"404",0.79375,0.5,0.5
"405",0.74375,0.5,0.5
"406",0.74375,0.5,0.5
"407",0.734375,0.5,0.5
"408",0.790625,0.5,0.5
"409",0.815625,0.75,0.75
"410",0.8,0.5,0.5
"411",0.740625,0.5,0.5
"412",0.753125,0.5,0.5
"413",0.78125,0.5,0.5
"414",0.778125,0.5,0.5
"415",0.778125,0.5,0.5
"416",0.78125,0.5,0.5
"417",0.76875,0.5,0.5
"418",0.771875,0.5,0.5
"419",0.753125,0.5,0.5
"420",0.74375,0.5,0.5
"421",0.265625,0,0
"422",0.80625,0.5,0.5
"423",0.228125,0,0
"424",0.28125,0,0
"425",0.671875,0.25,0.25
"426",0.115625,0,0
"427",0.009375,0,0
"428",0.00625,0,0
"429",0.478125,0.25,0.25
"430",0.7375,0.75,0.75
"431",0.603125,0.5,0.5
"432",0.68125,0.5,0.5
"433",0.7375,0.5,0.5
"434",0.65,0.5,0.5
